Species,Kit,Cytokine,MW,Mass
Human,BD_FullFlex,CD40L,16300,10000
Human,BD_FullFlex,IL-11,19100,10000
Human,BD_FullFlex,IL-17F,14903,10000
Human,BD_FullFlex,IL-21,15500,10000
Human,BD_FullFlex,CXCL11,8303,10000
Human,BD_FullFlex,IL-12,57000,10000
Human,BD_FullFlex,IL-8,8904,10000
Human,BD_FullFlex,Angiogenin,14000,10000
Human,BD_FullFlex,IL-1B,17300,10000
Human,BD_FullFlex,IL-1A,18047,10000
Human,BD_FullFlex,GM-CSF,14400,10000
Human,BD_FullFlex,MCP-1,13000,10000
Human,BD_FullFlex,CD54,95000,10000
Human,BD_FullFlex,CD14,55000,10000
Human,BD_FullFlex,CD62E,115000,10000
Human,BD_FullFlex,CD62P,110000,10000
Human,BD_FullFlex,G-CSF,18600,10000
Human,BD_FullFlex,IgE,188000,10000
Human,BD_FullFlex,MIG,11700,10000
Human,BD_FullFlex,Eotaxin,8400,10000
Human,BD_FullFlex,VEGF,19000,10000
Human,BD_FullFlex,Fractalkine,8770,10000
Human,BD_FullFlex,TNF,17500,10000
Human,BD_FullFlex,RANTES,7809,10000
Human,BD_FullFlex,TNFRI,22700,10000
Human,BD_FullFlex,TNFRII,26600,10000
Human,BD_FullFlex,IL-17A,30700,10000
Human,BD_FullFlex,IP-10,8600,10000
Human,BD_FullFlex,IL-12p70,70000,10000
Human,BD_FullFlex,LT-Alp,18600,10000
Human,BD_FullFlex,IL-9,14000,10000
Human,BD_FullFlex,IL-3,15000,10000
Human,BD_FullFlex,MIP-1A,7500,10000
Human,BD_FullFlex,IL-10,18600,10000
Human,BD_FullFlex,IL-7,17400,10000
Human,BD_FullFlex,IFNa,19241,10000
Human,BD_FullFlex,IL-13,12600,10000
Human,BD_FullFlex,IL-6,21000,10000
Human,BD_FullFlex,IL-5,26522,10000
Human,BD_FullFlex,IFNg,17200,10000
Human,BD_FullFlex,IL-2,15386,10000
Human,BD_FullFlex,IL-4,15000,10000
Human,BD_FullFlex,CD62L,60190,10000
Human,BD_FullFlex,CD106,102000,10000
Human,BD_FullFlex,TGF-B,12700,10000
Human,BD_FullFlex,CD121b,38800,10000
Human,BD_FullFlex,CD121a,37400,10000
Human,BD_FullFlex,Granzyme A,28000,10000
Human,BD_FullFlex,Granzyme B,27500,10000
Human,BD_FullFlex,CD178,18000,10000
Human,BD_FullFlex,FGF,16310,10000
Human,BD_Th1217_and_Chemokine,IFNg,17200,10000
Human,BD_Th1217_and_Chemokine,IL-2,15386,10000
Human,BD_Th1217_and_Chemokine,TNFa,17500,10000
Human,BD_Th1217_and_Chemokine,IL-4,15000,10000
Human,BD_Th1217_and_Chemokine,IL-6,21000,10000
Human,BD_Th1217_and_Chemokine,IL-10,18600,10000
Human,BD_Th1217_and_Chemokine,IL-17A,30700,10000
Human,BD_Th1217_and_Chemokine,RANTES,7809,10000
Human,BD_Th1217_and_Chemokine,MCP-1,13000,10000
Human,BD_Th1217_and_Chemokine,MIG,11700,10000
Human,BD_Th1217_and_Chemokine,IL-8,8904,10000
Human,BD_Th1217_and_Chemokine,IP-10,8600,10000
Human,Chemokine,IL-8,8904,10000
Human,Chemokine,RANTES,7809,10000
Human,Chemokine,MIG,11700,10000
Human,Chemokine,MCP-1,13000,10000
Human,Chemokine,IP-10,8600,10000
Human,Th1_2_17,IFNg,16900,10000
Human,Th1_2_17,TNFa,17500,10000
Human,Th1_2_17,IFNg,17200,10000
Human,Th1_2_17,IL-2,15386,10000
Human,Th1_2_17,IL-4,15000,10000
Human,Th1_2_17,IL-6,21000,10000
Human,Th1_2_17,IL-10,18600,10000
Human,Th1_2_17,IL-17A,30700,10000
Mouse,BD_FullFlex,KC,11000,10000
Mouse,BD_FullFlex,MIG,12200,10000
Mouse,BD_FullFlex,IL-23p19,19500,10000
Mouse,BD_FullFlex,MCP-1,16000,10000
Mouse,BD_FullFlex,G-CSF,18800,10000
Mouse,BD_FullFlex,IL-1a,17500,10000
Mouse,BD_FullFlex,GM-CSF,14000,10000
Mouse,BD_FullFlex,IL-1b,17500,10000
Mouse,BD_FullFlex,IL-17F,14900,10000
Mouse,BD_FullFlex,RANTES,7800,10000
Mouse,BD_FullFlex,IL-2,17200,10000
Mouse,BD_FullFlex,IL-10,18900,10000
Mouse,BD_FullFlex,IL-4,1400,10000
Mouse,BD_FullFlex,IL-6,21900,10000
Mouse,BD_FullFlex,IL-3,15200,10000
Mouse,BD_FullFlex,IL-5,26200,10000
Mouse,BD_FullFlex,IL-9,14300,10000
Mouse,BD_FullFlex,IL-12p70,57480,10000
Mouse,BD_FullFlex,IL-13,12300,10000
Mouse,BD_FullFlex,MIP-1b,7800,10000
Mouse,BD_FullFlex,IL-21,14400,10000
Mouse,BD_FullFlex,IL-17A,15500,10000
Mouse,BD_FullFlex,IL-12_IL-23p40,70000,10000
Mouse,BD_FullFlex,CD62L,76000,10000
Mouse,BD_FullFlex,TGFb,25000,10000
Mouse,Th1_2_17,IL-4,14000,10000
Mouse,Th1_2_17,IFNg,17200,10000
Mouse,Th1_2_17,IL-2,17200,10000
Mouse,Th1_2_17,IL-4,1400,10000
Mouse,Th1_2_17,IL-6,21900,10000
Mouse,Th1_2_17,IL-10,18900,10000
Mouse,Th1_2_17,TNFa,17500,10000
Mouse,Th1_2_17,IL-17A,15500,10000
